episode_url,type,title,transcript_url,local_filename
https://www.thegreatsimplification.com/episode/190-stephen-jenkinson,interview,The Forgotten Skills of Dying and Grieving Well: How Engaging with Loss Can Help Us Live More Fully,https://www.thegreatsimplification.com/wp-content/uploads/2025/08/TGS-190-Stephen-Jenkinson-Transcript.pdf,TGS-190-Stephen-Jenkinson-Transcript.pdf
https://www.thegreatsimplification.com/episode/191-taylor-guthrie,interview,"How Do You Become Who You Want to Be?: The Science Behind Identity, Purpose, and Motivation",https://www.thegreatsimplification.com/wp-content/uploads/2025/08/TGS-191-Taylor-Guthrie-Transcript.pdf,TGS-191-Taylor-Guthrie-Transcript.pdf
https://www.thegreatsimplification.com/episode/192-sunil-amrith,interview,Where Will Humanity Move When the World Gets Too Hot? Mass Climate Migration & The Rise of Uninhabitable Regions,https://www.thegreatsimplification.com/wp-content/uploads/2025/08/TGS-192-Sunil-Amrith-Transcript.pdf,TGS-192-Sunil-Amrith-Transcript.pdf
https://www.thegreatsimplification.com/episode/48-tomas-bjorkman,interview,Tomas Björkman: “The Great Transformation – Metamodernism and The Future”,https://www.thegreatsimplification.com/wp-content/uploads/2022/12/TGS48TomasBjorkmanTranscript.docx1_.pdf,TGS48TomasBjorkmanTranscript.docx1_.pdf
https://www.thegreatsimplification.com/episode/193-anastassia-makarieva,interview,"Why We Need Forests: Their Vital Role in Climate Dynamics, Rain, and The Biotic Pump",https://www.thegreatsimplification.com/wp-content/uploads/2025/09/TGS-193-Anastassia-Makarieva-Transcript.pdf,TGS-193-Anastassia-Makarieva-Transcript.pdf
https://www.thegreatsimplification.com/episode/195-rutger-bregman,interview,Moral Ambition: Redefining Success for the Global Good,https://www.thegreatsimplification.com/wp-content/uploads/2025/09/TGS-195-Rutger-Bregman-Transcript.docx.pdf,TGS-195-Rutger-Bregman-Transcript.docx.pdf
https://www.thegreatsimplification.com/episode/196-meredith-angwin,interview,"Is the U.S. Electric Grid Stable? Policy, Renewables, and Who Is Responsible If The Grid Fails",https://www.thegreatsimplification.com/wp-content/uploads/2025/10/TGS-197-Meredith-Angwin-Transcript-1.pdf,TGS-197-Meredith-Angwin-Transcript-1.pdf
https://www.thegreatsimplification.com/episode/194-luke-kemp,interview,The Past and Future of Societal Collapse: Why Civilizations Fall and What We Can Learn From It,https://www.thegreatsimplification.com/wp-content/uploads/2025/09/TGS-194-Luke-Kemp-Transcript.docx.pdf,TGS-194-Luke-Kemp-Transcript.docx.pdf
https://www.thegreatsimplification.com/episode/197-ove-hoegh-guldberg,interview,"Will Coral Reefs Be Gone by 2050? How Bleaching, Acidification, and Ocean Heating are Killing Coral Reefs",https://www.thegreatsimplification.com/wp-content/uploads/2025/10/TGS-197-Ove-Hoegh-Guldberg-Transcript.pdf,TGS-197-Ove-Hoegh-Guldberg-Transcript.pdf
https://www.thegreatsimplification.com/episode/198-stacy-mitchell,interview,"Challenging Monopoly Power: Why Local Business is Better for People, the Planet, and Your Wallet",https://www.thegreatsimplification.com/wp-content/uploads/2025/10/TGS-198-Stacy-Mitchell-Transcript.pdf,TGS-198-Stacy-Mitchell-Transcript.pdf
https://www.thegreatsimplification.com/episode/180-zak-stein,interview,Zak Stein — AI’s Unseen Risks: How Artificial Intelligence Could Harm Future Generations,https://www.thegreatsimplification.com/wp-content/uploads/2025/06/TGS180ZakSteinTranscript.pdf,TGS180ZakSteinTranscript.pdf
